,postID,postTitle,postTime,Author,IP,Link,PushCount,BooCount,ArrorCount
531,1T9-m9zB,[爆卦] 截至7/12刪除帳號統計,Fri Jul 12 10:10:14 2019,mattiswe098 (),118.163.247.142,https://www.ptt.cc/bbs/Gossiping/M.1562897417.A.F4B.html,264,15,184
532,1T9_TICO,[新聞] 蔡英文秀國旗徽章 反問郭台銘：我現在戴,Fri Jul 12 10:58:24 2019,cnotyes (千雪),114.137.224.119,https://www.ptt.cc/bbs/Gossiping/M.1562900306.A.318.html,192,33,97
533,1T9_copB,[新聞] 少子化加劇 上半年新生兒僅8.5萬,Fri Jul 12 11:08:32 2019,ANDORLESS (人生就是不斷地跌倒),114.41.12.169,https://www.ptt.cc/bbs/Gossiping/M.1562900914.A.CCB.html,216,34,203
534,1TA0dX4e,[爆卦] 央視呼籲國民黨要團結 淺藍轉支持柯,Fri Jul 12 12:17:32 2019,EpicCrap (EpicCrap),118.163.219.142,https://www.ptt.cc/bbs/Gossiping/M.1562905057.A.128.html,231,28,150
535,1TA0gO06,[新聞] Line訊息聲被嫌吵 速食店讀書客要求調靜,Fri Jul 12 12:20:37 2019,kivan00 (Kivan),114.46.193.103,https://www.ptt.cc/bbs/Gossiping/M.1562905240.A.006.html,360,138,359
536,1TA0o_tg,[新聞] 獨家》軍方換裝新型火砲 敲定近300億元,Fri Jul 12 12:29:49 2019,asuka99 (Asuka),101.12.1.37,https://www.ptt.cc/bbs/Gossiping/M.1562905791.A.DEA.html,263,9,123
537,1TA0pukT,Re: [問卦] George and Mary 現金卡害了多少人？,Fri Jul 12 12:30:46 2019,free5566 (自由的56),114.32.1.4,https://www.ptt.cc/bbs/Gossiping/M.1562905848.A.B9D.html,406,0,60
538,1TA17TNs,[新聞] 蔡英文出訪過境紐約 秀國旗徽章嗆郭台銘,Fri Jul 12 12:51:39 2019,v99999 (95至尊),42.72.165.5,https://www.ptt.cc/bbs/Gossiping/M.1562907101.A.5F6.html,214,22,88
539,1TA1XrMU,[新聞] 蔡英文過境紐約 酒店外一親共人士打人被捕,Fri Jul 12 13:19:23 2019,Yirgacheffe (イルガチェッフェ),36.228.40.80,https://www.ptt.cc/bbs/Gossiping/M.1562908789.A.59E.html,159,13,62
540,1TA1jPdv,[新聞] 柯文哲談新潮流：不見得一竿子打翻一條船,Fri Jul 12 13:32:07 2019,BrownNoser (BrownNoser),1.34.1.60,https://www.ptt.cc/bbs/Gossiping/M.1562909529.A.9F9.html,393,101,344
541,1TA2Fl8K,[新聞]長榮憑什麼開除郭芷嫣？眾人氣炸「先把內,Fri Jul 12 14:08:45 2019,yang46cf (當笨蛋比較好),122.118.8.131,https://www.ptt.cc/bbs/Gossiping/M.1562911727.A.214.html,193,58,129
