,postID,postTitle,postTime,Author,IP,Link,PushCount,BooCount,ArrorCount
0,1T6f5OZp,Re: [新聞] 實價登錄2.0變0.5？ 黃國昌轟民進黨：,Tue Jul  2 07:03:50 2019,blue155305 (勇者胖虎),180.177.114.177,https://www.ptt.cc/bbs/Gossiping/M.1562022232.A.8F3.html,378,39,202
1,1T6g4Iwk,[新聞] 忘愛人已逝 失智九旬翁尋妻,Tue Jul  2 08:10:56 2019,abramtw (世界原來是如此耀眼啊),220.129.30.132,https://www.ptt.cc/bbs/Gossiping/M.1562026258.A.EAE.html,200,1,53
2,1T6h04ed,[新聞] 捷克法院裁決 8名台籍詐欺嫌犯「送中」,Tue Jul  2 09:14:39 2019,becool996 (冷月紫米是過前高，但是1),39.8.126.168,https://www.ptt.cc/bbs/Gossiping/M.1562030084.A.A27.html,303,102,284
3,1T6hwoBS,[新聞] 公然罵三字經無罪　《博恩秀》為言論自,Tue Jul  2 10:17:20 2019,andy0219 (OuO),27.247.164.212,https://www.ptt.cc/bbs/Gossiping/M.1562033842.A.2DC.html,248,52,170
4,1T6iKBC2,[爆卦] 昨晚香港攻進立法會的一個掛,Tue Jul  2 10:44:25 2019,Yuki2316 (午夜狂歡),42.73.255.92,https://www.ptt.cc/bbs/Gossiping/M.1562035467.A.302.html,157,13,68
5,1T6iPrk9,Re: [問卦] 農地蓋工廠、實價登錄0.5是不是很讚？,Tue Jul  2 10:50:23 2019,bulden (要死的生魚片),104.32.187.152,https://www.ptt.cc/bbs/Gossiping/M.1562035829.A.B89.html,234,25,166
6,1T6iVDr2,[新聞] 替考上哈佛的林晉毅保留醫學系學籍 陽明,Tue Jul  2 10:56:11 2019,Aqqqa (Aqqqa),163.25.94.210,https://www.ptt.cc/bbs/Gossiping/M.1562036173.A.D42.html,186,16,142
7,1T6j0VnL,[新聞] 罷工空服員取回三寶服勤 工會：將由會員,Tue Jul  2 11:31:41 2019,paericsson (pa),61.216.26.1,https://www.ptt.cc/bbs/Gossiping/M.1562038303.A.C55.html,244,37,363
8,1T6j6T4v,[問卦] 慟！Vast&Hazy沒得獎我很難過(發錢),Tue Jul  2 11:38:03 2019,FlyinwindX (Flyinwind),1.160.4.17,https://www.ptt.cc/bbs/Gossiping/M.1562038685.A.139.html,139,4,29
9,1T6jQVAK,[新聞] 高雄KTV槍擊 10多名黑道持AR15突擊步槍,Tue Jul  2 11:59:25 2019,rick102233 (),123.0.231.84,https://www.ptt.cc/bbs/Gossiping/M.1562039967.A.294.html,171,21,79
10,1T6jYNrr,[爆卦] 香港佔領立法會 鏡頭看不見的事,Tue Jul  2 12:07:48 2019,fivz (Cass),223.19.184.161,https://www.ptt.cc/bbs/Gossiping/M.1562040471.A.D75.html,183,12,65
11,1T6jdLfX,[新聞] 傳民進黨曾徵詢林飛帆接副秘書長,Tue Jul  2 12:13:07 2019,qaz8031 (小良HRU),111.71.11.19,https://www.ptt.cc/bbs/Gossiping/M.1562040789.A.A61.html,251,81,216
12,1T6kBkNv,[爆卦] 市長換人 柳川美景回不去,Tue Jul  2 12:51:56 2019,mement788 (黃大頭111),180.204.136.32,https://www.ptt.cc/bbs/Gossiping/M.1562043118.A.5F9.html,155,27,103
13,1T6kHPTR,[爆卦] 舔共！郭台銘拿中共的錢超過中時  (發錢),Tue Jul  2 12:57:59 2019,pinkycandy (pinkycandy),223.137.116.65,https://www.ptt.cc/bbs/Gossiping/M.1562043481.A.75B.html,531,292,178
14,1T6lU1OE,[新聞] 退將赴中參與政治活動民進黨提案終身禁,Tue Jul  2 14:19:42 2019,Anddyliu (安滴滴),42.72.6.16,https://www.ptt.cc/bbs/Gossiping/M.1562048385.A.60E.html,203,13,104
15,1T6mTOE2,[新聞] 慘！黑人病患帶點滴散步 被指控偷竊醫療器材遭逮捕,Tue Jul  2 15:27:15 2019,rickey1270 (我大奈亞子毫無死角！！),180.204.141.36,https://www.ptt.cc/bbs/Gossiping/M.1562052440.A.382.html,417,36,165
16,1T6mTltI,[新聞] 美眾院情報委員會通過法案 防中國干預台,Tue Jul  2 15:27:39 2019,relax911 (Lmerro),123.194.189.94,https://www.ptt.cc/bbs/Gossiping/M.1562052463.A.DD2.html,193,16,197
17,1T6mhGDy,[爆卦] 最新民調2 韓國瑜35% 柯文哲26% 蔡英文22%,Tue Jul  2 15:42:03 2019,shared (shared),163.26.71.6,https://www.ptt.cc/bbs/Gossiping/M.1562053328.A.37C.html,231,32,138
18,1T6np5DA,Re: [新聞] 【獨家有照】抓包大巨蛋違法復工　柯市呸,Tue Jul  2 16:58:43 2019,Tsucomi69 (N9SU3XL3AJ4),101.11.33.219,https://www.ptt.cc/bbs/Gossiping/M.1562057925.A.34A.html,173,14,57
19,1T6o54K4,[新聞] 高雄大八飯店宣布停業 150多名員工訝異,Tue Jul  2 17:17:53 2019,kinple (( ￣ c￣),111.243.47.117,https://www.ptt.cc/bbs/Gossiping/M.1562059076.A.504.html,236,19,108
20,1T6oAMNp,Re: [問卦] 家裡陽臺聚集一團蜜蜂,Tue Jul  2 17:23:32 2019,pigcory (堯仔),101.9.204.122,https://www.ptt.cc/bbs/Gossiping/M.1562059414.A.5F3.html,144,4,14
21,1T6oceNL,Re: [新聞] 批行政院給錢態度差！韓國瑜：我像服務員,Tue Jul  2 17:53:42 2019,RandyXiao (RandyXiao),101.13.212.111,https://www.ptt.cc/bbs/Gossiping/M.1562061224.A.5D5.html,681,59,216
22,1T6p36-g,[新聞] 2020參戰 時代力量:不排除自提總統候選人,Tue Jul  2 18:24:03 2019,manpc (manpc),163.26.71.6,https://www.ptt.cc/bbs/Gossiping/M.1562063046.A.FAA.html,321,75,236
23,1T6p_nYh,[爆卦] 戴資穎/ Tai Tzu Ying FB,Tue Jul  2 19:28:46 2019,yesgogo (馬桶上的沉思者),114.40.65.80,https://www.ptt.cc/bbs/Gossiping/M.1562066929.A.8AB.html,245,11,42
24,1T6qP4ke,[新聞] 慘！台籍詐欺犯求別送中 「將與爸媽天人,Tue Jul  2 19:55:41 2019,go190214 (天空之島拉普達),123.192.154.107,https://www.ptt.cc/bbs/Gossiping/M.1562068548.A.BA8.html,215,37,123
25,1T6qPaPJ,[爆卦] 國民黨廣告無下限 抹黑造假文宣又來啦,Tue Jul  2 19:56:18 2019,nkit612004 (金山周杰倫),49.216.231.107,https://www.ptt.cc/bbs/Gossiping/M.1562068580.A.653.html,234,22,95
26,1T6qY1hX,Re: [新聞] 慘！台籍詐欺犯求別送中 「將與爸媽天人,Tue Jul  2 20:05:19 2019,"CREA (自由  滞
在　  断不柔優)",1.175.77.128,https://www.ptt.cc/bbs/Gossiping/M.1562069121.A.AE1.html,248,24,118
27,1T6qw-aS,Re: [爆卦] 祖墳被不明人士整座挖開,Tue Jul  2 20:31:55 2019,gmoz (  This can't do that. ),61.65.118.176,https://www.ptt.cc/bbs/Gossiping/M.1562070718.A.91C.html,177,4,54
28,1T6qzRdc,[新聞] 陸拳王下戰書 嗆館長：一回合還站著就算,Tue Jul  2 20:34:32 2019,linwahaha (),122.118.91.96,https://www.ptt.cc/bbs/Gossiping/M.1562070875.A.9E6.html,763,234,492
29,1T6r6fn8,[新聞] 快訊／長榮二次協商宣布破局！　工會罷,Tue Jul  2 20:44:23 2019,a90575 (CY),27.52.190.180,https://www.ptt.cc/bbs/Gossiping/M.1562071465.A.C48.html,405,41,375
30,1T6rrKIj,[問卦] 姓「樓」的朋友要生了,Tue Jul  2 21:34:10 2019,inmee (J),49.218.76.173,https://www.ptt.cc/bbs/Gossiping/M.1562074452.A.4AD.html,260,16,74
31,1T6sIeke,[爆卦] 民進黨團投票表明本屆不會過實價登錄2.0,Tue Jul  2 22:05:24 2019,ueewen (ueewen),49.216.0.215,https://www.ptt.cc/bbs/Gossiping/M.1562076328.A.BA8.html,301,39,121
32,1T6v0uYO,[問卦] 有沒有老天鵝政客激戰的八卦阿,Wed Jul  3 01:11:17 2019,justin531xx (吉他手 喵喵),36.234.135.66,https://www.ptt.cc/bbs/Gossiping/M.1562087480.A.898.html,220,9,80
33,1T6vqb6M,[問卦] 大學讀私立還能翻身嗎？,Wed Jul  3 02:06:27 2019,iocal (哎額吸欸唷),42.76.109.41,https://www.ptt.cc/bbs/Gossiping/M.1562090789.A.196.html,221,29,277
34,1T6vv5xm,[新聞] 日本「9屍凶宅」租出去了！ 新房客超滿意,Wed Jul  3 02:11:15 2019,TZUYIC (Celine-Flying On My Own),42.77.38.78,https://www.ptt.cc/bbs/Gossiping/M.1562091077.A.EF0.html,283,17,160
